type,statement,prompt,template
verifiable-true,Sand retains more energy from the sun than water.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Sand retains more energy from the sun than water.""",Sand retains more energy from the sun than water.
verifiable-true,An adaptation that allows tadpoles to go through a shortened period of metamorphosis would be useful when there is a limited amount of water in their environment.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An adaptation that allows tadpoles to go through a shortened period of metamorphosis would be useful when there is a limited amount of water in their environment.""",An adaptation that allows tadpoles to go through a shortened period of metamorphosis would be useful when there is a limited amount of water in their environment.
verifiable-true,Powdered tea becomes a solution when mixed with water because the tea spreads evenly through the water.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Powdered tea becomes a solution when mixed with water because the tea spreads evenly through the water.""",Powdered tea becomes a solution when mixed with water because the tea spreads evenly through the water.
verifiable-true,All cells release energy.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""All cells release energy.""",All cells release energy.
verifiable-true,"If a chemical cannot be separated into other chemicals, then it is best described as an element.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If a chemical cannot be separated into other chemicals, then it is best described as an element.""","If a chemical cannot be separated into other chemicals, then it is best described as an element."
verifiable-true,Air is made of atoms.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Air is made of atoms.""",Air is made of atoms.
verifiable-true,Light waves that cross from an air medium to a water medium will change length and direction.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Light waves that cross from an air medium to a water medium will change length and direction.""",Light waves that cross from an air medium to a water medium will change length and direction.
verifiable-true,The sun gives off its own light.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The sun gives off its own light.""",The sun gives off its own light.
verifiable-true,Converging boundaries most likely caused the formation of the mount st. helens volcano.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Converging boundaries most likely caused the formation of the mount st. helens volcano.""",Converging boundaries most likely caused the formation of the mount st. helens volcano.
verifiable-true,The amount of rainfall affects the type of crop a farmer grows more than the depth of soil.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The amount of rainfall affects the type of crop a farmer grows more than the depth of soil.""",The amount of rainfall affects the type of crop a farmer grows more than the depth of soil.
verifiable-true,Infectious diseases can be passed from organism to organism by insect bites.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Infectious diseases can be passed from organism to organism by insect bites.""",Infectious diseases can be passed from organism to organism by insect bites.
verifiable-true,Ammonia (nh_{3}) is a compound.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Ammonia (nh_{3}) is a compound.""",Ammonia (nh_{3}) is a compound.
verifiable-true,Zinc is a mineral that helps heal cuts and scratches.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Zinc is a mineral that helps heal cuts and scratches.""",Zinc is a mineral that helps heal cuts and scratches.
verifiable-true,All matter takes up space and has mass.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""All matter takes up space and has mass.""",All matter takes up space and has mass.
verifiable-true,Most evaporation on earth happens in the oceans because about 97 percent of earth's water is ocean water.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Most evaporation on earth happens in the oceans because about 97 percent of earth's water is ocean water.""",Most evaporation on earth happens in the oceans because about 97 percent of earth's water is ocean water.
verifiable-true,"When a ball is thrown downward onto a concrete floor and bounces upward, the floor supplies the upward force that makes the ball bounce.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When a ball is thrown downward onto a concrete floor and bounces upward, the floor supplies the upward force that makes the ball bounce.""","When a ball is thrown downward onto a concrete floor and bounces upward, the floor supplies the upward force that makes the ball bounce."
verifiable-true,"The sun appears to be the largest star, even though there are stars that are much larger than the sun, because the sun is closer to earth than other stars.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The sun appears to be the largest star, even though there are stars that are much larger than the sun, because the sun is closer to earth than other stars.""","The sun appears to be the largest star, even though there are stars that are much larger than the sun, because the sun is closer to earth than other stars."
verifiable-true,"When cold air is at the tops of mountains, the air will flow toward areas of lower pressure in valleys.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When cold air is at the tops of mountains, the air will flow toward areas of lower pressure in valleys.""","When cold air is at the tops of mountains, the air will flow toward areas of lower pressure in valleys."
verifiable-true,Ice fracturing a stone is an example of physical weathering.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Ice fracturing a stone is an example of physical weathering.""",Ice fracturing a stone is an example of physical weathering.
verifiable-true,"When a person starts to jog, stored energy changes to motion and heat.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When a person starts to jog, stored energy changes to motion and heat.""","When a person starts to jog, stored energy changes to motion and heat."
verifiable-true,Sound waves and ocean waves are similar in that both carry energy from one place to another.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Sound waves and ocean waves are similar in that both carry energy from one place to another.""",Sound waves and ocean waves are similar in that both carry energy from one place to another.
verifiable-true,The formation of the ozone layer helped protect terrestrial organisms as they evolved.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The formation of the ozone layer helped protect terrestrial organisms as they evolved.""",The formation of the ozone layer helped protect terrestrial organisms as they evolved.
verifiable-true,A cricket is an invertebrate.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A cricket is an invertebrate.""",A cricket is an invertebrate.
verifiable-true,All cells transfer genetic information from one generation to the next.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""All cells transfer genetic information from one generation to the next.""",All cells transfer genetic information from one generation to the next.
verifiable-true,Coal is a renewable natural resource that can be replenished over a period of time.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Coal is a renewable natural resource that can be replenished over a period of time.""",Coal is a renewable natural resource that can be replenished over a period of time.
verifiable-true,"To determine how closely related organisms are, scientists consider analogous structures.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""To determine how closely related organisms are, scientists consider analogous structures.""","To determine how closely related organisms are, scientists consider analogous structures."
verifiable-true,Mass allows an object to bend.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Mass allows an object to bend.""",Mass allows an object to bend.
verifiable-true,The moon cycles through its phases once per day.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The moon cycles through its phases once per day.""",The moon cycles through its phases once per day.
verifiable-true,"When cold temperatures are produced in a chemical reaction, the reaction is known as exothermic.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When cold temperatures are produced in a chemical reaction, the reaction is known as exothermic.""","When cold temperatures are produced in a chemical reaction, the reaction is known as exothermic."
verifiable-true,Sunglasses help protect the eyes by refracting light rays away from the eyes.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Sunglasses help protect the eyes by refracting light rays away from the eyes.""",Sunglasses help protect the eyes by refracting light rays away from the eyes.
verifiable-true,Geologists normally use rock hardness to differentiate between gabbro and basalt rocks.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Geologists normally use rock hardness to differentiate between gabbro and basalt rocks.""",Geologists normally use rock hardness to differentiate between gabbro and basalt rocks.
verifiable-true,Traveling alone is an adaptive characteristic that helps dolphins survive life in the ocean.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Traveling alone is an adaptive characteristic that helps dolphins survive life in the ocean.""",Traveling alone is an adaptive characteristic that helps dolphins survive life in the ocean.
verifiable-true,The moon and earth have a similar surface atmosphere.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The moon and earth have a similar surface atmosphere.""",The moon and earth have a similar surface atmosphere.
verifiable-true,Ribosomes transfer information from dna to rna.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Ribosomes transfer information from dna to rna.""",Ribosomes transfer information from dna to rna.
verifiable-true,A lunar eclipse occurs when the moon passes between earth and the sun.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A lunar eclipse occurs when the moon passes between earth and the sun.""",A lunar eclipse occurs when the moon passes between earth and the sun.
verifiable-true,The skin consists mostly of nerve tissue.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The skin consists mostly of nerve tissue.""",The skin consists mostly of nerve tissue.
verifiable-true,"In a plant cell, chloroplasts manufacture chemical energy from food.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In a plant cell, chloroplasts manufacture chemical energy from food.""","In a plant cell, chloroplasts manufacture chemical energy from food."
verifiable-true,K -> k^+ reflects the gain of an electron.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""K -> k^+ reflects the gain of an electron.""",K -> k^+ reflects the gain of an electron.
verifiable-true,The best container for storing an unknown liquid is a green plastic soda bottle.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The best container for storing an unknown liquid is a green plastic soda bottle.""",The best container for storing an unknown liquid is a green plastic soda bottle.
verifiable-true,A skin cell from a mouse and an amoeba both move with pseudopodia.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A skin cell from a mouse and an amoeba both move with pseudopodia.""",A skin cell from a mouse and an amoeba both move with pseudopodia.
verifiable-true,"In a coral reef ecosystem, producers must capture energy from gases such as methane and hydrogen sulfide.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""In a coral reef ecosystem, producers must capture energy from gases such as methane and hydrogen sulfide.""","In a coral reef ecosystem, producers must capture energy from gases such as methane and hydrogen sulfide."
verifiable-true,An airplane traveling at a constant speed of 800 kilometers per hour (km/h) will travel 200 kilometers in 25 minutes.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An airplane traveling at a constant speed of 800 kilometers per hour (km/h) will travel 200 kilometers in 25 minutes.""",An airplane traveling at a constant speed of 800 kilometers per hour (km/h) will travel 200 kilometers in 25 minutes.
verifiable-true,"When a dog sees a cat, a message travels from the dog's eyes to the dog's muscles.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When a dog sees a cat, a message travels from the dog's eyes to the dog's muscles.""","When a dog sees a cat, a message travels from the dog's eyes to the dog's muscles."
verifiable-true,Surface mining might discourange landfills.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Surface mining might discourange landfills.""",Surface mining might discourange landfills.
verifiable-true,The planet in the solar system with the longest day has the longest year.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The planet in the solar system with the longest day has the longest year.""",The planet in the solar system with the longest day has the longest year.
verifiable-true,Bacterial cells must get nutrients from a transport system.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Bacterial cells must get nutrients from a transport system.""",Bacterial cells must get nutrients from a transport system.
verifiable-true,The presence of a fluid mantle on another planet would provide some evidence that the planet has an iron core.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The presence of a fluid mantle on another planet would provide some evidence that the planet has an iron core.""",The presence of a fluid mantle on another planet would provide some evidence that the planet has an iron core.
verifiable-true,An encoder in a telephone communication system changes electrical impulses into sound.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An encoder in a telephone communication system changes electrical impulses into sound.""",An encoder in a telephone communication system changes electrical impulses into sound.
verifiable-true,The order of stages in a plant's life cycle is adult plant -> young plant -> seed.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The order of stages in a plant's life cycle is adult plant -> young plant -> seed.""",The order of stages in a plant's life cycle is adult plant -> young plant -> seed.
verifiable-true,A balance is used to measure volume.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""A balance is used to measure volume.""",A balance is used to measure volume.
verifiable-true,The main source of energy for all of the organisms in most food chains is water.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The main source of energy for all of the organisms in most food chains is water.""",The main source of energy for all of the organisms in most food chains is water.
verifiable-true,The width of a rubber band will stay the same when it is stretched.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The width of a rubber band will stay the same when it is stretched.""",The width of a rubber band will stay the same when it is stretched.
verifiable-true,Carbon dioxide is the most abundant greenhouse gas in the lower atmosphere of earth.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Carbon dioxide is the most abundant greenhouse gas in the lower atmosphere of earth.""",Carbon dioxide is the most abundant greenhouse gas in the lower atmosphere of earth.
verifiable-true,Stained glass windows are opaque.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Stained glass windows are opaque.""",Stained glass windows are opaque.
verifiable-true,The moon revolving around earth causes the moon to shine more brightly than other objects in the sky.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The moon revolving around earth causes the moon to shine more brightly than other objects in the sky.""",The moon revolving around earth causes the moon to shine more brightly than other objects in the sky.
verifiable-true,"If an atom has two protons and three electrons, then the atom is positively charged.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If an atom has two protons and three electrons, then the atom is positively charged.""","If an atom has two protons and three electrons, then the atom is positively charged."
verifiable-true,One example of a living thing is water.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One example of a living thing is water.""",One example of a living thing is water.
verifiable-true,"If a brand of fertilizer claims that it contains all the chemicals a plant needs for rapid growth, it may be inferred that the fertilizer includes carbohydrates.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If a brand of fertilizer claims that it contains all the chemicals a plant needs for rapid growth, it may be inferred that the fertilizer includes carbohydrates.""","If a brand of fertilizer claims that it contains all the chemicals a plant needs for rapid growth, it may be inferred that the fertilizer includes carbohydrates."
verifiable-true,"For space telescopes that search for extrasolar planets, the ability to observe wobbles in the position of a star is most important.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""For space telescopes that search for extrasolar planets, the ability to observe wobbles in the position of a star is most important.""","For space telescopes that search for extrasolar planets, the ability to observe wobbles in the position of a star is most important."
verifiable-true,White blood cells are the first line of defense in the human body against infection and disease.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""White blood cells are the first line of defense in the human body against infection and disease.""",White blood cells are the first line of defense in the human body against infection and disease.
verifiable-true,The skeletal system helps maintain a normal body temperature of 98.6°f.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The skeletal system helps maintain a normal body temperature of 98.6°f.""",The skeletal system helps maintain a normal body temperature of 98.6°f.
verifiable-true,One helpful effect from a flood could be eroded riverbanks.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One helpful effect from a flood could be eroded riverbanks.""",One helpful effect from a flood could be eroded riverbanks.
verifiable-true,One major difference between paper and plastic is that plastic cannot be reused.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""One major difference between paper and plastic is that plastic cannot be reused.""",One major difference between paper and plastic is that plastic cannot be reused.
verifiable-true,The green color of many grass snakes most likely helps them to climb tall trees.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The green color of many grass snakes most likely helps them to climb tall trees.""",The green color of many grass snakes most likely helps them to climb tall trees.
verifiable-true,The best piece of equipment to determine the topography of the united states is a compass.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""The best piece of equipment to determine the topography of the united states is a compass.""",The best piece of equipment to determine the topography of the united states is a compass.
verifiable-true,Plentiful resources would likely limit the number of mice living in an area.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Plentiful resources would likely limit the number of mice living in an area.""",Plentiful resources would likely limit the number of mice living in an area.
verifiable-true,It requires 200 seconds for a bicycle to travel a distance of 100 meters at an average speed of 2 m/s.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""It requires 200 seconds for a bicycle to travel a distance of 100 meters at an average speed of 2 m/s.""",It requires 200 seconds for a bicycle to travel a distance of 100 meters at an average speed of 2 m/s.
verifiable-true,"When your kidneys excrete antidiuretic hormone (adh), you get hungry and sweat less.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When your kidneys excrete antidiuretic hormone (adh), you get hungry and sweat less.""","When your kidneys excrete antidiuretic hormone (adh), you get hungry and sweat less."
verifiable-true,"If a construction worker hit a solid steel wall with a sledgehammer, but the wall did not move, then part of the energy exerted by the worker was destroyed by the steel wall.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If a construction worker hit a solid steel wall with a sledgehammer, but the wall did not move, then part of the energy exerted by the worker was destroyed by the steel wall.""","If a construction worker hit a solid steel wall with a sledgehammer, but the wall did not move, then part of the energy exerted by the worker was destroyed by the steel wall."
verifiable-true,"If an atom of hydrogen gives up one electron, its overall charge is +2.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If an atom of hydrogen gives up one electron, its overall charge is +2.""","If an atom of hydrogen gives up one electron, its overall charge is +2."
verifiable-true,"There is a limited supply of copper on earth, so copper does not make up commercial products.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""There is a limited supply of copper on earth, so copper does not make up commercial products.""","There is a limited supply of copper on earth, so copper does not make up commercial products."
verifiable-true,"When two positively charged balloons are brought close to each other, the balloons will come together.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""When two positively charged balloons are brought close to each other, the balloons will come together.""","When two positively charged balloons are brought close to each other, the balloons will come together."
verifiable-true,Plant cells and human cells both can receive nutrients through the cell wall.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Plant cells and human cells both can receive nutrients through the cell wall.""",Plant cells and human cells both can receive nutrients through the cell wall.
verifiable-true,Grass capturing the energy from sunlight is an example of a physical change.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Grass capturing the energy from sunlight is an example of a physical change.""",Grass capturing the energy from sunlight is an example of a physical change.
verifiable-true,Mountains building up is an example of a sudden change to earth's surface.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""Mountains building up is an example of a sudden change to earth's surface.""",Mountains building up is an example of a sudden change to earth's surface.
verifiable-true,An exothermic reaction could best be demonstrated with a frying pan.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An exothermic reaction could best be demonstrated with a frying pan.""",An exothermic reaction could best be demonstrated with a frying pan.
verifiable-true,An element being heated and evaporating is an example of a chemical change.,"Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""An element being heated and evaporating is an example of a chemical change.""",An element being heated and evaporating is an example of a chemical change.
verifiable-true,"If the wavelength of a rossby wave was doubled, the amplitude would decrease by half.","Given a statement, your goal is to say whether you agree, disagree, or need more information before making a decision. Your answer should be 'agree' if the statement is true; 'disagree' if the statement is false, or 'neither' if you need more information to determine whether the statement is true or false.

""If the wavelength of a rossby wave was doubled, the amplitude would decrease by half.""","If the wavelength of a rossby wave was doubled, the amplitude would decrease by half."
