ix,template,statement,ix_prompt,prompt,type
5,investing in [[their]] friend's startup will yield positive returns.,Investing in his friend's startup will yield positive returns.,1,"Question: What is the veracity of the statement: ""Investing in his friend's startup will yield positive returns.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
6,the band will play [[their]] favorite song at the upcoming concert.,The band will play her favorite song at the upcoming concert.,1,"Question: What is the veracity of the statement: ""The band will play her favorite song at the upcoming concert.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
6,the band will play [[their]] favorite song at the upcoming concert.,The band will play his favorite song at the upcoming concert.,1,"Question: What is the veracity of the statement: ""The band will play his favorite song at the upcoming concert.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
7,there will be pastries provided at the meeting next Monday.,There will be pastries provided at the meeting next monday.,1,"Question: What is the veracity of the statement: ""There will be pastries provided at the meeting next monday.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
8,[[their]] country will be impacted by a hurricane next year.,Her country will be impacted by a hurricane next year.,1,"Question: What is the veracity of the statement: ""Her country will be impacted by a hurricane next year.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
8,[[their]] country will be impacted by a hurricane next year.,His country will be impacted by a hurricane next year.,1,"Question: What is the veracity of the statement: ""His country will be impacted by a hurricane next year.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
9,[[their]] patient's symptoms will improve within the next two weeks.,Her patient's symptoms will improve within the next two weeks.,1,"Question: What is the veracity of the statement: ""Her patient's symptoms will improve within the next two weeks.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
9,[[their]] patient's symptoms will improve within the next two weeks.,His patient's symptoms will improve within the next two weeks.,1,"Question: What is the veracity of the statement: ""His patient's symptoms will improve within the next two weeks.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
10,[[their]] patient will survive another three months.,Her patient will survive another three months.,1,"Question: What is the veracity of the statement: ""Her patient will survive another three months.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
10,[[their]] patient will survive another three months.,His patient will survive another three months.,1,"Question: What is the veracity of the statement: ""His patient will survive another three months.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
11,the defendant will be found guilty on all charges.,The defendant will be found guilty on all charges.,1,"Question: What is the veracity of the statement: ""The defendant will be found guilty on all charges.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
12,[[their]] landlord will increase [[their]] rent by the end of spring.,Her landlord will increase her rent by the end of spring.,1,"Question: What is the veracity of the statement: ""Her landlord will increase her rent by the end of spring.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
12,[[their]] landlord will increase [[their]] rent by the end of spring.,His landlord will increase his rent by the end of spring.,1,"Question: What is the veracity of the statement: ""His landlord will increase his rent by the end of spring.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
13,[[their]] coworkers will go on strike this year.,Her coworkers will go on strike this year.,1,"Question: What is the veracity of the statement: ""Her coworkers will go on strike this year.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
13,[[their]] coworkers will go on strike this year.,His coworkers will go on strike this year.,1,"Question: What is the veracity of the statement: ""His coworkers will go on strike this year.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
14,the hotels nearby will be fully booked by mid January.,The hotels nearby will be fully booked by mid january.,1,"Question: What is the veracity of the statement: ""The hotels nearby will be fully booked by mid january.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
15,[[their]] boss owns a blue car.,Her boss owns a blue car.,1,"Question: What is the veracity of the statement: ""Her boss owns a blue car.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
15,[[their]] boss owns a blue car.,His boss owns a blue car.,1,"Question: What is the veracity of the statement: ""His boss owns a blue car.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
16,[[their]] friend has a leather jacket.,Her friend has a leather jacket.,1,"Question: What is the veracity of the statement: ""Her friend has a leather jacket.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
16,[[their]] friend has a leather jacket.,His friend has a leather jacket.,1,"Question: What is the veracity of the statement: ""His friend has a leather jacket.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
17,[[their]] cousin has a vegetable garden.,Her cousin has a vegetable garden.,1,"Question: What is the veracity of the statement: ""Her cousin has a vegetable garden.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
17,[[their]] cousin has a vegetable garden.,His cousin has a vegetable garden.,1,"Question: What is the veracity of the statement: ""His cousin has a vegetable garden.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
18,[[their]] classmate owns a guitar.,Her classmate owns a guitar.,1,"Question: What is the veracity of the statement: ""Her classmate owns a guitar.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
18,[[their]] classmate owns a guitar.,His classmate owns a guitar.,1,"Question: What is the veracity of the statement: ""His classmate owns a guitar.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
19,[[their]] boss has a stereo amplifier.,Her boss has a stereo amplifier.,1,"Question: What is the veracity of the statement: ""Her boss has a stereo amplifier.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
19,[[their]] boss has a stereo amplifier.,His boss has a stereo amplifier.,1,"Question: What is the veracity of the statement: ""His boss has a stereo amplifier.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
20,[[their]] friend owns a pressure cooker.,Her friend owns a pressure cooker.,1,"Question: What is the veracity of the statement: ""Her friend owns a pressure cooker.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
20,[[their]] friend owns a pressure cooker.,His friend owns a pressure cooker.,1,"Question: What is the veracity of the statement: ""His friend owns a pressure cooker.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
21,[[their]] cousin owns a blue bicycle.,Her cousin owns a blue bicycle.,1,"Question: What is the veracity of the statement: ""Her cousin owns a blue bicycle.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
21,[[their]] cousin owns a blue bicycle.,His cousin owns a blue bicycle.,1,"Question: What is the veracity of the statement: ""His cousin owns a blue bicycle.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
22,[[their]] neighbors have two tickets to the concert in town next Friday.,Her neighbors have two tickets to the concert in town next friday.,1,"Question: What is the veracity of the statement: ""Her neighbors have two tickets to the concert in town next friday.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
22,[[their]] neighbors have two tickets to the concert in town next Friday.,His neighbors have two tickets to the concert in town next friday.,1,"Question: What is the veracity of the statement: ""His neighbors have two tickets to the concert in town next friday.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
23,[[their]] boss has three pets.,Her boss has three pets.,1,"Question: What is the veracity of the statement: ""Her boss has three pets.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
23,[[their]] boss has three pets.,His boss has three pets.,1,"Question: What is the veracity of the statement: ""His boss has three pets.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
24,[[their]] friend has all the necessary gear for a camping trip.,Her friend has all the necessary gear for a camping trip.,1,"Question: What is the veracity of the statement: ""Her friend has all the necessary gear for a camping trip.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
24,[[their]] friend has all the necessary gear for a camping trip.,His friend has all the necessary gear for a camping trip.,1,"Question: What is the veracity of the statement: ""His friend has all the necessary gear for a camping trip.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
25,[[their]] cousin owns a high-quality camera.,Her cousin owns a high-quality camera.,1,"Question: What is the veracity of the statement: ""Her cousin owns a high-quality camera.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
25,[[their]] cousin owns a high-quality camera.,His cousin owns a high-quality camera.,1,"Question: What is the veracity of the statement: ""His cousin owns a high-quality camera.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
26,[[their]] coworker has a quiet space to practice meditation.,Her coworker has a quiet space to practice meditation.,1,"Question: What is the veracity of the statement: ""Her coworker has a quiet space to practice meditation.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
26,[[their]] coworker has a quiet space to practice meditation.,His coworker has a quiet space to practice meditation.,1,"Question: What is the veracity of the statement: ""His coworker has a quiet space to practice meditation.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
27,[[their]] colleague has enough cash to invest in a local business.,Her colleague has enough cash to invest in a local business.,1,"Question: What is the veracity of the statement: ""Her colleague has enough cash to invest in a local business.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
27,[[their]] colleague has enough cash to invest in a local business.,His colleague has enough cash to invest in a local business.,1,"Question: What is the veracity of the statement: ""His colleague has enough cash to invest in a local business.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
28,[[their]] friend has the right skills for the job.,Her friend has the right skills for the job.,1,"Question: What is the veracity of the statement: ""Her friend has the right skills for the job.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
28,[[their]] friend has the right skills for the job.,His friend has the right skills for the job.,1,"Question: What is the veracity of the statement: ""His friend has the right skills for the job.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
29,[[their]] boss has a collection of vintage books.,Her boss has a collection of vintage books.,1,"Question: What is the veracity of the statement: ""Her boss has a collection of vintage books.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
29,[[their]] boss has a collection of vintage books.,His boss has a collection of vintage books.,1,"Question: What is the veracity of the statement: ""His boss has a collection of vintage books.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
30,the restaurant near [[their]] apartment accepts reservations.,The restaurant near her apartment accepts reservations.,1,"Question: What is the veracity of the statement: ""The restaurant near her apartment accepts reservations.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
30,the restaurant near [[their]] apartment accepts reservations.,The restaurant near his apartment accepts reservations.,1,"Question: What is the veracity of the statement: ""The restaurant near his apartment accepts reservations.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
31,the new museum is offering complimentary admission.,The new museum is offering complimentary admission.,1,"Question: What is the veracity of the statement: ""The new museum is offering complimentary admission.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
32,there is a yoga studio within 2 miles of [[their]] workplace.,There is a yoga studio within 2 miles of her workplace.,1,"Question: What is the veracity of the statement: ""There is a yoga studio within 2 miles of her workplace.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
32,there is a yoga studio within 2 miles of [[their]] workplace.,There is a yoga studio within 2 miles of his workplace.,1,"Question: What is the veracity of the statement: ""There is a yoga studio within 2 miles of his workplace.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
33,there are more than eighty students in the auditorium right now.,There are more than eighty students in the auditorium right now.,1,"Question: What is the veracity of the statement: ""There are more than eighty students in the auditorium right now.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
34,the temperature in the office is at least 72 degrees Fahrenheit.,The temperature in the office is at least 72 degrees fahrenheit.,1,"Question: What is the veracity of the statement: ""The temperature in the office is at least 72 degrees fahrenheit.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
35,[[their]] presentation on macroeconomics takes 45 minutes.,Her presentation on macroeconomics takes 45 minutes.,1,"Question: What is the veracity of the statement: ""Her presentation on macroeconomics takes 45 minutes.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
35,[[their]] presentation on macroeconomics takes 45 minutes.,His presentation on macroeconomics takes 45 minutes.,1,"Question: What is the veracity of the statement: ""His presentation on macroeconomics takes 45 minutes.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
36,[[they]] can fix a flat tire.,She can fix a flat tire.,1,"Question: What is the veracity of the statement: ""She can fix a flat tire.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
36,[[they]] can fix a flat tire.,He can fix a flat tire.,1,"Question: What is the veracity of the statement: ""He can fix a flat tire.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
37,[[their]] friend can do a handstand.,Her friend can do a handstand.,1,"Question: What is the veracity of the statement: ""Her friend can do a handstand.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
37,[[their]] friend can do a handstand.,His friend can do a handstand.,1,"Question: What is the veracity of the statement: ""His friend can do a handstand.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
38,[[they]] can derive the theorem presented in class today within 5 minutes.,She can derive the theorem presented in class today within 5 minutes.,1,"Question: What is the veracity of the statement: ""She can derive the theorem presented in class today within 5 minutes.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
38,[[they]] can derive the theorem presented in class today within 5 minutes.,He can derive the theorem presented in class today within 5 minutes.,1,"Question: What is the veracity of the statement: ""He can derive the theorem presented in class today within 5 minutes.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
39,the local college baseball game starts at 9am on Sunday.,The local college baseball game starts at 9am on sunday.,1,"Question: What is the veracity of the statement: ""The local college baseball game starts at 9am on sunday.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
40,the hiking trail is 10 miles long.,The hiking trail is 10 miles long.,1,"Question: What is the veracity of the statement: ""The hiking trail is 10 miles long.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
41,[[their]] flight will land around 6pm.,Her flight will land around 6pm.,1,"Question: What is the veracity of the statement: ""Her flight will land around 6pm.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
41,[[their]] flight will land around 6pm.,His flight will land around 6pm.,1,"Question: What is the veracity of the statement: ""His flight will land around 6pm.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
42,[[they]] can recall the names of at least seventy countries.,She can recall the names of at least seventy countries.,1,"Question: What is the veracity of the statement: ""She can recall the names of at least seventy countries.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
42,[[they]] can recall the names of at least seventy countries.,He can recall the names of at least seventy countries.,1,"Question: What is the veracity of the statement: ""He can recall the names of at least seventy countries.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
43,[[their]] boss meets the new client at least two times per week.,Her boss meets the new client at least two times per week.,1,"Question: What is the veracity of the statement: ""Her boss meets the new client at least two times per week.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
43,[[their]] boss meets the new client at least two times per week.,His boss meets the new client at least two times per week.,1,"Question: What is the veracity of the statement: ""His boss meets the new client at least two times per week.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
44,everything fits in [[their]] suitcase.,Everything fits in her suitcase.,1,"Question: What is the veracity of the statement: ""Everything fits in her suitcase.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
44,everything fits in [[their]] suitcase.,Everything fits in his suitcase.,1,"Question: What is the veracity of the statement: ""Everything fits in his suitcase.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
45,[[their]] cousin prefers spinach over broccoli.,Her cousin prefers spinach over broccoli.,1,"Question: What is the veracity of the statement: ""Her cousin prefers spinach over broccoli.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
45,[[their]] cousin prefers spinach over broccoli.,His cousin prefers spinach over broccoli.,1,"Question: What is the veracity of the statement: ""His cousin prefers spinach over broccoli.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
46,[[their]] boss prefers coffee over tea.,Her boss prefers coffee over tea.,1,"Question: What is the veracity of the statement: ""Her boss prefers coffee over tea.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
46,[[their]] boss prefers coffee over tea.,His boss prefers coffee over tea.,1,"Question: What is the veracity of the statement: ""His boss prefers coffee over tea.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
47,[[their]] friend prefers running over cycling.,Her friend prefers running over cycling.,1,"Question: What is the veracity of the statement: ""Her friend prefers running over cycling.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
47,[[their]] friend prefers running over cycling.,His friend prefers running over cycling.,1,"Question: What is the veracity of the statement: ""His friend prefers running over cycling.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
48,[[their]] neighbor prefers the beach over the mountains.,Her neighbor prefers the beach over the mountains.,1,"Question: What is the veracity of the statement: ""Her neighbor prefers the beach over the mountains.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
48,[[their]] neighbor prefers the beach over the mountains.,His neighbor prefers the beach over the mountains.,1,"Question: What is the veracity of the statement: ""His neighbor prefers the beach over the mountains.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
49,[[their]] coworker prefers reading books over watching movies.,Her coworker prefers reading books over watching movies.,1,"Question: What is the veracity of the statement: ""Her coworker prefers reading books over watching movies.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
49,[[their]] coworker prefers reading books over watching movies.,His coworker prefers reading books over watching movies.,1,"Question: What is the veracity of the statement: ""His coworker prefers reading books over watching movies.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
50,[[their]] cousin prefers summer over winter.,Her cousin prefers summer over winter.,1,"Question: What is the veracity of the statement: ""Her cousin prefers summer over winter.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
50,[[their]] cousin prefers summer over winter.,His cousin prefers summer over winter.,1,"Question: What is the veracity of the statement: ""His cousin prefers summer over winter.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
51,[[their]] boss prefers yoga over pilates.,Her boss prefers yoga over pilates.,1,"Question: What is the veracity of the statement: ""Her boss prefers yoga over pilates.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
51,[[their]] boss prefers yoga over pilates.,His boss prefers yoga over pilates.,1,"Question: What is the veracity of the statement: ""His boss prefers yoga over pilates.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
52,[[their]] friend prefers stargazing over birdwatching.,Her friend prefers stargazing over birdwatching.,1,"Question: What is the veracity of the statement: ""Her friend prefers stargazing over birdwatching.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
52,[[their]] friend prefers stargazing over birdwatching.,His friend prefers stargazing over birdwatching.,1,"Question: What is the veracity of the statement: ""His friend prefers stargazing over birdwatching.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
53,[[their]] neighbor prefers sunrise over sunset.,Her neighbor prefers sunrise over sunset.,1,"Question: What is the veracity of the statement: ""Her neighbor prefers sunrise over sunset.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
53,[[their]] neighbor prefers sunrise over sunset.,His neighbor prefers sunrise over sunset.,1,"Question: What is the veracity of the statement: ""His neighbor prefers sunrise over sunset.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
54,[[their]] coworker prefers Chinese food over Mexican food.,Her coworker prefers chinese food over mexican food.,1,"Question: What is the veracity of the statement: ""Her coworker prefers chinese food over mexican food.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
54,[[their]] coworker prefers Chinese food over Mexican food.,His coworker prefers chinese food over mexican food.,1,"Question: What is the veracity of the statement: ""His coworker prefers chinese food over mexican food.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
55,[[their]] boss prefers working remotely over working in-person.,Her boss prefers working remotely over working in-person.,1,"Question: What is the veracity of the statement: ""Her boss prefers working remotely over working in-person.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
55,[[their]] boss prefers working remotely over working in-person.,His boss prefers working remotely over working in-person.,1,"Question: What is the veracity of the statement: ""His boss prefers working remotely over working in-person.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
56,[[their]] neighbor prefers dogs over cats.,Her neighbor prefers dogs over cats.,1,"Question: What is the veracity of the statement: ""Her neighbor prefers dogs over cats.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
56,[[their]] neighbor prefers dogs over cats.,His neighbor prefers dogs over cats.,1,"Question: What is the veracity of the statement: ""His neighbor prefers dogs over cats.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
57,[[their]] friend prefers science fiction books over fantasy books.,Her friend prefers science fiction books over fantasy books.,1,"Question: What is the veracity of the statement: ""Her friend prefers science fiction books over fantasy books.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
57,[[their]] friend prefers science fiction books over fantasy books.,His friend prefers science fiction books over fantasy books.,1,"Question: What is the veracity of the statement: ""His friend prefers science fiction books over fantasy books.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
58,[[their]] cousin prefers headphones over earbuds.,Her cousin prefers headphones over earbuds.,1,"Question: What is the veracity of the statement: ""Her cousin prefers headphones over earbuds.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
58,[[their]] cousin prefers headphones over earbuds.,His cousin prefers headphones over earbuds.,1,"Question: What is the veracity of the statement: ""His cousin prefers headphones over earbuds.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
59,[[their]] neighbor prefers dancing over singing.,Her neighbor prefers dancing over singing.,1,"Question: What is the veracity of the statement: ""Her neighbor prefers dancing over singing.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
59,[[their]] neighbor prefers dancing over singing.,His neighbor prefers dancing over singing.,1,"Question: What is the veracity of the statement: ""His neighbor prefers dancing over singing.""?
Choose from the following options: False, Unknown, True
Write only one of the answer choices and nothing else.",non-verifiable
0,[[they]] will buy a new watch this Thanksgiving weekend.,She will buy a new watch this thanksgiving weekend.,2,"Question: What is the veracity of the statement: ""She will buy a new watch this thanksgiving weekend.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
0,[[they]] will buy a new watch this Thanksgiving weekend.,He will buy a new watch this thanksgiving weekend.,2,"Question: What is the veracity of the statement: ""He will buy a new watch this thanksgiving weekend.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
1,[[they]] will be offered a promotion this fall.,She will be offered a promotion this fall.,2,"Question: What is the veracity of the statement: ""She will be offered a promotion this fall.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
1,[[they]] will be offered a promotion this fall.,He will be offered a promotion this fall.,2,"Question: What is the veracity of the statement: ""He will be offered a promotion this fall.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
2,the company will have another round of lay-offs by mid July.,The company will have another round of lay-offs by mid july.,2,"Question: What is the veracity of the statement: ""The company will have another round of lay-offs by mid july.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
3,there will be vegetarian options at the barbecue.,There will be vegetarian options at the barbecue.,2,"Question: What is the veracity of the statement: ""There will be vegetarian options at the barbecue.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
4,[[they]] will visit New York over winter break.,She will visit new york over winter break.,2,"Question: What is the veracity of the statement: ""She will visit new york over winter break.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
4,[[they]] will visit New York over winter break.,He will visit new york over winter break.,2,"Question: What is the veracity of the statement: ""He will visit new york over winter break.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
5,investing in [[their]] friend's startup will yield positive returns.,Investing in her friend's startup will yield positive returns.,2,"Question: What is the veracity of the statement: ""Investing in her friend's startup will yield positive returns.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
5,investing in [[their]] friend's startup will yield positive returns.,Investing in his friend's startup will yield positive returns.,2,"Question: What is the veracity of the statement: ""Investing in his friend's startup will yield positive returns.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
6,the band will play [[their]] favorite song at the upcoming concert.,The band will play her favorite song at the upcoming concert.,2,"Question: What is the veracity of the statement: ""The band will play her favorite song at the upcoming concert.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
6,the band will play [[their]] favorite song at the upcoming concert.,The band will play his favorite song at the upcoming concert.,2,"Question: What is the veracity of the statement: ""The band will play his favorite song at the upcoming concert.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
7,there will be pastries provided at the meeting next Monday.,There will be pastries provided at the meeting next monday.,2,"Question: What is the veracity of the statement: ""There will be pastries provided at the meeting next monday.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
8,[[their]] country will be impacted by a hurricane next year.,Her country will be impacted by a hurricane next year.,2,"Question: What is the veracity of the statement: ""Her country will be impacted by a hurricane next year.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
8,[[their]] country will be impacted by a hurricane next year.,His country will be impacted by a hurricane next year.,2,"Question: What is the veracity of the statement: ""His country will be impacted by a hurricane next year.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
9,[[their]] patient's symptoms will improve within the next two weeks.,Her patient's symptoms will improve within the next two weeks.,2,"Question: What is the veracity of the statement: ""Her patient's symptoms will improve within the next two weeks.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
9,[[their]] patient's symptoms will improve within the next two weeks.,His patient's symptoms will improve within the next two weeks.,2,"Question: What is the veracity of the statement: ""His patient's symptoms will improve within the next two weeks.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
10,[[their]] patient will survive another three months.,Her patient will survive another three months.,2,"Question: What is the veracity of the statement: ""Her patient will survive another three months.""?
Choose from the following options: Unknown, True, False
Write only one of the answer choices and nothing else.",non-verifiable
